timestamp,version,input_set,population,bits,generations,mutation_rate,seed,threads,run,elapsed_seconds,best_fitness
2026-09-17T15:02:13-03:00,paralelizado,grande,4000,2000,100,0.0005,42,2,10,1.795992,1575
2026-09-17T15:02:14-03:00,paralelizado,grande,4000,2000,100,0.0005,42,4,1,1.012170,1575
2026-09-17T15:02:15-03:00,paralelizado,grande,4000,2000,100,0.0005,42,4,2,1.017154,1575
2026-09-17T15:02:16-03:00,paralelizado,grande,4000,2000,100,0.0005,42,4,3,1.016555,1575
2026-09-17T15:02:17-03:00,paralelizado,grande,4000,2000,100,0.0005,42,4,4,1.011652,1575
2026-09-17T15:02:18-03:00,paralelizado,grande,4000,2000,100,0.0005,42,4,5,1.012048,1575
2026-09-17T15:02:19-03:00,paralelizado,grande,4000,2000,100,0.0005,42,4,6,1.015825,1575
2026-09-17T15:02:20-03:00,paralelizado,grande,4000,2000,100,0.0005,42,4,7,1.014022,1575
2026-09-17T15:02:21-03:00,paralelizado,grande,4000,2000,100,0.0005,42,4,8,1.015647,1575
2026-09-17T15:02:22-03:00,paralelizado,grande,4000,2000,100,0.0005,42,4,9,1.012997,1575
2026-09-17T15:02:23-03:00,paralelizado,grande,4000,2000,100,0.0005,42,4,10,1.013899,1575
2026-09-17T15:02:24-03:00,paralelizado,grande,4000,2000,100,0.0005,42,8,1,0.541049,1575
2026-09-17T15:02:24-03:00,paralelizado,grande,4000,2000,100,0.0005,42,8,2,0.542291,1575
2026-09-17T15:02:25-03:00,paralelizado,grande,4000,2000,100,0.0005,42,8,3,0.545129,1575
2026-09-17T15:02:25-03:00,paralelizado,grande,4000,2000,100,0.0005,42,8,4,0.542016,1575
2026-09-17T15:02:26-03:00,paralelizado,grande,4000,2000,100,0.0005,42,8,5,0.542668,1575
2026-09-17T15:02:27-03:00,paralelizado,grande,4000,2000,100,0.0005,42,8,6,0.541274,1575
2026-09-17T15:02:27-03:00,paralelizado,grande,4000,2000,100,0.0005,42,8,7,0.542595,1575
2026-09-17T15:02:28-03:00,paralelizado,grande,4000,2000,100,0.0005,42,8,8,0.541678,1575
2026-09-17T15:02:28-03:00,paralelizado,grande,4000,2000,100,0.0005,42,8,9,0.542914,1575
2026-09-17T15:02:29-03:00,paralelizado,grande,4000,2000,100,0.0005,42,8,10,0.541352,1575
2026-09-17T15:02:29-03:00,paralelizado,grande,4000,2000,100,0.0005,42,16,1,0.306040,1575
2026-09-17T15:02:29-03:00,paralelizado,grande,4000,2000,100,0.0005,42,16,2,0.292573,1575
